GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_num,Percent_Category,ACS_Population,White,Black,AIAN,ASIAN,Hispanic,Other,Percent_White,Percent_Black,Percent_AIAN,Percent_Asian,Percent_Hispanic,Other_Percent
35061970200,Valencia,NE,0.102,3,153,"3,789",0.0404,4%,5,3876,1876,8,286,77,1602,27,48.4,0.21,7.38,1.99,41.33,0.7
35061970301,Valencia,SE,0.364,5,566,"7,474",0.0757,8%,4,6872,1229,0,151,0,5430,62,17.88,0,2.2,0,79.02,0.91
35061970302,Valencia,SE,0.174,3,158,"2,787",0.0567,6%,4,2875,913,155,8,6,1728,65,31.76,5.39,0.28,0.21,60.1,2.26
35061970303,Valencia,SE,0.133,3,305,"6,452",0.0473,5%,5,6932,2199,0,59,0,4607,67,31.72,0,0.85,0,66.46,0.97
35061970401,Valencia,Los Lunas,0.098,2,356,"5,088",0.07,7%,4,4805,1301,126,95,0,3145,138,27.08,2.62,1.98,0,65.45,2.87
35061970404,Valencia,Los Lunas,0.168,3,321,"4,842",0.0663,7%,4,4902,1652,90,76,6,2957,121,33.7,1.84,1.55,0.12,60.32,2.47
35061970405,Valencia,Los Lunas,0.11,3,218,"3,030",0.0719,7%,4,3906,2013,128,0,45,1679,41,51.54,3.28,0,1.15,42.99,1.05
35061970700,Valencia,West and Belen,0.15,3,631,"6,768",0.0932,9%,4,7167,2489,57,161,0,4218,242,34.73,0.8,2.25,0,58.85,3.37
35061970800,Valencia,West and Belen,0.228,4,267,"4,991",0.0535,5%,5,5730,1482,15,519,61,3653,0,25.86,0.26,9.06,1.06,63.75,0
35061970901,Valencia,West and Belen,0.203,4,372,"4,602",0.0808,8%,4,4956,1270,0,328,0,3245,113,25.63,0,6.62,0,65.48,2.28
35061970902,Valencia,West and Belen,0.17,3,85,"2,633",0.0323,3%,6,1916,579,40,0,0,1283,14,30.22,2.09,0,0,66.96,0.73
35061971000,Valencia,SE,0.189,3,271,"4,597",0.059,6%,4,4568,2194,102,117,26,2129,0,48.03,2.23,2.56,0.57,46.61,0
35061971100,Valencia,SE,0.297,4,71,"1,575",0.0451,5%,5,1320,464,0,0,30,826,0,35.15,0,0,2.27,62.58,0
35061971300,Valencia,West and Belen,0.228,4,115,"2,026",0.0568,6%,4,1662,757,22,63,0,809,11,45.55,1.32,3.79,0,48.68,0.66
